,name,year,position,team,sub_team
0,LeBron James,2012,F,Miami Heat,1
1,Kevin Durant,2012,F,Oklahoma City Thunder,1
2,Tim Duncan,2012,C,San Antonio Spurs,1
3,Kobe Bryant,2012,G,Los Angeles Lakers,1
4,Chris Paul,2012,G,L.A. Clippers,1
5,Carmelo Anthony,2012,F,New York Knicks,2
6,Blake Griffin,2012,F,L.A. Clippers,2
7,Marc Gasol,2012,C,Memphis Grizzlies,2
8,Tony Parker,2012,G,San Antonio Spurs,2
9,Russell Westbrook,2012,G,Oklahoma City Thunder,2
10,David Lee,2012,F,Golden State Warriors,3
11,Paul George,2012,F,Indiana Pacers,3
12,Dwight Howard,2012,C,Los Angeles Lakers,3
13,Dwyane Wade,2012,G,Miami Heat,3
14,James Harden,2012,G,Houston Rockets,3
15,Kevin Durant,2013,F,Oklahoma City Thunder,1
16,LeBron James,2013,F,Miami Heat,1
17,Joakim Noah,2013,C,Chicago Bulls,1
18,James Harden,2013,G,Houston Rockets,1
19,Chris Paul,2013,G,L.A. Clippers,1
20,Blake Griffin,2013,F,L.A. Clippers,2
21,Kevin Love,2013,F,Minnesota Timberwolves,2
22,Dwight Howard,2013,C,Houston Rockets,2
23,Stephen Curry,2013,G,Golden State Warriors,2
24,Tony Parker,2013,G,San Antonio Spurs,2
25,Paul George,2013,F,Indiana Pacers  ,3
26,LaMarcus Aldridge,2013,F,Portland Trail Blazers,3
27,Al Jefferson,2013,C,Charlotte Bobcats,3
28,Goran Dragic,2013,G,Miami Heat,3
29,Damian Lillard,2013,G,Portland Trail Blazers,3
30,LeBron James,2014,F,Cleveland Cavaliers,1
31,Anthony Davis,2014,F,New Orleans Pelicans,1
32,Marc Gasol,2014,C,Memphis Grizzlies,1
33,Stephen Curry,2014,G,Golden State Warriors,1
34,James Harden,2014,G,Houston Rockets,1
35,LaMarcus Aldridge,2014,F,Portland Trail Blazers,2
36,DeMarcus Cousins,2014,F,Sacramento Kings,2
37,Pau Gasol,2014,C,Chicago Bulls,2
38,Russell Westbrook,2014,G,Oklahoma City Thunder ,2
39,Chris Paul,2014,G,L.A. Clippers,2
40,Blake Griffin,2014,F,L.A. Clippers,3
41,Tim Duncan,2014,F,San Antonio Spurs,3
42,DeAndre Jordan,2014,C,L.A. Clippers,3
43,Klay Thompson,2014,G,Golden State Warriors,3
44,Kyrie Irving,2014,G,Cleveland Cavaliers,3
45,LeBron James,2015,F,Cleveland Cavaliers,1
46,Kawhi Leonard,2015,F,San Antonio Spurs,1
47,DeAndre Jordan,2015,C,L.A. Clippers,1
48,Stephen Curry,2015,G,Golden State Warriors,1
49,Russell Westbrook,2015,G,Oklahoma City Thunder,1
50,Kevin Durant,2015,F,Oklahoma City Thunder,2
51,Draymond Green,2015,F,Golden State Warriors,2
52,DeMarcus Cousins,2015,C,Sacramento Kings,2
53,Chris Paul,2015,G,L.A. Clippers,2
54,Damian Lillard,2015,G,Portland Trail Blazers,2
55,Paul George,2015,F,Indiana Pacers,3
56,LaMarcus Aldridge,2015,F,San Antonio Spurs,3
57,Andre Drummond,2015,C,Detroit Pistons,3
58,Klay Thompson,2015,G,Golden State Warriors,3
59,Kyle Lowry,2015,G,Toronto Raptors,3
60,LeBron James,2016,F,Cleveland Cavaliers,1
61,Kawhi Leonard,2016,F,San Antonio Spurs,1
62,Anthony Davis,2016,C,New Orleans Pelicans,1
63,James Harden,2016,G,Houston Rockets,1
64,Russell Westbrook,2016,G,Oklahoma City Thunder,1
65,Giannis Antetokounmpo,2016,F,Milwaukee Bucks,2
66,Kevin Durant,2016,F,Golden State Warriors,2
67,Rudy Gobert,2016,C,Utah Jazz,2
68,Stephen Curry,2016,G,Golden State Warriors,2
69,Isaiah Thomas,2016,G,Boston Celtics,2
70,Draymond Green,2016,F,Golden State Warriors,3
71,Jimmy Butler,2016,F,Chicago Bulls,3
72,DeAndre Jordan,2016,C,L.A. Clippers,3
73,John Wall,2016,G,Washington Wizards,3
74,DeMar DeRozan,2016,G,Toronto Raptors,3
75,LeBron James,2017,F,Cleveland Cavaliers,1
76,Kevin Durant,2017,F,Golden State Warriors,1
77,Anthony Davis,2017,C,New Orleans Pelicans,1
78,James Harden,2017,G,Houston Rockets,1
79,Damian Lillard,2017,G,Portland Trail Blazers,1
80,LaMarcus Aldridge,2017,F,San Antonio Spurs,2
81,Giannis Antetokounmpo,2017,F,Milwaukee Bucks,2
82,Joel Embiid,2017,C,Philadelphia 76ers,2
83,DeMar DeRozan,2017,G,Toronto Raptors,2
84,Russell Westbrook,2017,G,Oklahoma City Thunder,2
85,Paul George,2017,F,Oklahoma City Thunder,3
86,Jimmy Butler,2017,F,Minnesota Timberwolves,3
87,Karl-Anthony Towns,2017,C,Minnesota Timberwolves,3
88,Stephen Curry,2017,G,Golden State Warriors,3
89,Victor Oladipo,2017,G,Indiana Pacers,3