name,year,position,team,sub_team
LeBron James,2012,F,Miami Heat,1
Kevin Durant,2012,F,Oklahoma City Thunder,1
Tim Duncan,2012,C,San Antonio Spurs,1
Kobe Bryant,2012,G,Los Angeles Lakers,1
Chris Paul,2012,G,L.A. Clippers,1
Carmelo Anthony,2012,F,New York Knicks,2
Blake Griffin,2012,F,L.A. Clippers,2
Marc Gasol,2012,C,Memphis Grizzlies,2
Tony Parker,2012,G,San Antonio Spurs,2
Russell Westbrook,2012,G,Oklahoma City Thunder,2
David Lee,2012,F,Golden State Warriors,3
Paul George,2012,F,Indiana Pacers,3
Dwight Howard,2012,C,Los Angeles Lakers,3
Dwyane Wade,2012,G,Miami Heat,3
James Harden,2012,G,Houston Rockets,3
Kevin Durant,2013,F,Oklahoma City Thunder,1
LeBron James,2013,F,Miami Heat,1
Joakim Noah,2013,C,Chicago Bulls,1
James Harden,2013,G,Houston Rockets,1
Chris Paul,2013,G,L.A. Clippers,1
Blake Griffin,2013,F,L.A. Clippers,2
Kevin Love,2013,F,Minnesota Timberwolves,2
Dwight Howard,2013,C,Houston Rockets,2
Stephen Curry,2013,G,Golden State Warriors,2
Tony Parker,2013,G,San Antonio Spurs,2
Paul George,2013,F,Indiana Pacers  ,3
LaMarcus Aldridge,2013,F,Portland Trail Blazers,3
Al Jefferson,2013,C,Charlotte Bobcats,3
Goran Dragic,2013,G,Miami Heat,3
Damian Lillard,2013,G,Portland Trail Blazers,3
LeBron James,2014,F,Cleveland Cavaliers,1
Anthony Davis,2014,F,New Orleans Pelicans,1
Marc Gasol,2014,C,Memphis Grizzlies,1
Stephen Curry,2014,G,Golden State Warriors,1
James Harden,2014,G,Houston Rockets,1
LaMarcus Aldridge,2014,F,Portland Trail Blazers,2
DeMarcus Cousins,2014,F,Sacramento Kings,2
Pau Gasol,2014,C,Chicago Bulls,2
Russell Westbrook,2014,G,Oklahoma City Thunder ,2
Chris Paul,2014,G,L.A. Clippers,2
Blake Griffin,2014,F,L.A. Clippers,3
Tim Duncan,2014,F,San Antonio Spurs,3
DeAndre Jordan,2014,C,L.A. Clippers,3
Klay Thompson,2014,G,Golden State Warriors,3
Kyrie Irving,2014,G,Cleveland Cavaliers,3
LeBron James,2015,F,Cleveland Cavaliers,1
Kawhi Leonard,2015,F,San Antonio Spurs,1
DeAndre Jordan,2015,C,L.A. Clippers,1
Stephen Curry,2015,G,Golden State Warriors,1
Russell Westbrook,2015,G,Oklahoma City Thunder,1
Kevin Durant,2015,F,Oklahoma City Thunder,2
Draymond Green,2015,F,Golden State Warriors,2
DeMarcus Cousins,2015,C,Sacramento Kings,2
Chris Paul,2015,G,L.A. Clippers,2
Damian Lillard,2015,G,Portland Trail Blazers,2
Paul George,2015,F,Indiana Pacers,3
LaMarcus Aldridge,2015,F,San Antonio Spurs,3
Andre Drummond,2015,C,Detroit Pistons,3
Klay Thompson,2015,G,Golden State Warriors,3
Kyle Lowry,2015,G,Toronto Raptors,3
LeBron James,2016,F,Cleveland Cavaliers,1
Kawhi Leonard,2016,F,San Antonio Spurs,1
Anthony Davis,2016,C,New Orleans Pelicans,1
James Harden,2016,G,Houston Rockets,1
Russell Westbrook,2016,G,Oklahoma City Thunder,1
Giannis Antetokounmpo,2016,F,Milwaukee Bucks,2
Kevin Durant,2016,F,Golden State Warriors,2
Rudy Gobert,2016,C,Utah Jazz,2
Stephen Curry,2016,G,Golden State Warriors,2
Isaiah Thomas,2016,G,Boston Celtics,2
Draymond Green,2016,F,Golden State Warriors,3
Jimmy Butler,2016,F,Chicago Bulls,3
DeAndre Jordan,2016,C,L.A. Clippers,3
John Wall,2016,G,Washington Wizards,3
DeMar DeRozan,2016,G,Toronto Raptors,3
LeBron James,2017,F,Cleveland Cavaliers,1
Kevin Durant,2017,F,Golden State Warriors,1
Anthony Davis,2017,C,New Orleans Pelicans,1
James Harden,2017,G,Houston Rockets,1
Damian Lillard,2017,G,Portland Trail Blazers,1
LaMarcus Aldridge,2017,F,San Antonio Spurs,2
Giannis Antetokounmpo,2017,F,Milwaukee Bucks,2
Joel Embiid,2017,C,Philadelphia 76ers,2
DeMar DeRozan,2017,G,Toronto Raptors,2
Russell Westbrook,2017,G,Oklahoma City Thunder,2
Paul George,2017,F,Oklahoma City Thunder,3
Jimmy Butler,2017,F,Minnesota Timberwolves,3
Karl-Anthony Towns,2017,C,Minnesota Timberwolves,3
Stephen Curry,2017,G,Golden State Warriors,3
Victor Oladipo,2017,G,Indiana Pacers,3